Hylak_ID,Bloom Occurrence 1980s,Bloom Occurrence 2010s
14584,12.987,13.052
145879,4.844,0.336
14592,3.192,7.621
145920,1.073,0
14595,6.466,0.98
14597,3.261,3.752
14598,5.564,2.432
14599,12.005,24.043
146,0.11,1.254
146009,9.117,9.302
14601,11.488,17.987
146022,0.709,1.447
14615,0.082,0.168
1462,5.121,10.277
14623,8.855,15.596
146253,21.5,22.613
146274,4.254,0.511
1463,3.106,3.171
14635,6.552,9.748
14636,22.156,32.133
146386,0.995,0.589
1464,1.513,5.125
14641,4.434,11.699
14644,2.981,4.086
146457,17.151,25.814
146471,14.839,14.182
146495,22.576,24.647
14653,0.299,0.445
146541,0.094,0.344
146557,0.148,0
146561,0.989,0
146621,0.134,0
146648,2.883,0
14669,0.381,0.984
14674,0.302,1.328
146762,14.823,9.422
14677,4.84,8.246
146792,8.253,6.84
146797,4.172,7.78
14682,0.51,4.987
146822,1.293,1.144
146863,0.511,0
146918,1.395,0.053
146937,5.387,1.012
146966,1.774,0.183
14698,10.703,27.616
1470,2.714,7.342
14703,2.376,4.377
147036,5.379,0.981
147111,3.363,2.484
147167,0.619,0
147168,1.678,0.865
14720,29.532,34.036
14721,10.4,18.452
147267,0.183,0
14727,0.718,0.691
147323,0.087,0
14736,0.752,1.946
147361,2.248,0.46
147383,2.705,0.443
14740,0.379,0
147458,6.29,14.169
147475,3.076,3.59
147523,2.182,0
1476,2.28,11.329
14763,3.837,9.545
14767,0.403,0.682
147707,0.136,0
14773,0.363,0.164
147770,0.194,0
14782,2.284,0.468
14784,0.328,0.18
147841,0.182,0
147862,0.221,0.42
147901,0.096,0.01
14794,5.432,23.17
147977,1.238,0.321
14798,0.498,0.056
148,1.714,11.202
14801,5.639,7.204
14802,1.878,1.455
148037,0.18,0
14804,0.26,0.278
148048,0.432,2.11
14805,27.761,40.695
14814,9.347,1.3
148153,0.37,0.048
14816,0.289,0.32
148194,0.137,0.054
1482,4.929,20.403
148202,4.867,0.369
14821,0.483,1.228
148256,0.228,0.267
1483,9.235,14.816
14831,7.066,19.924
148333,0.367,0
148334,0.984,0.068
148341,0.177,0.136
148383,5.252,0.689
148393,2.56,0.462
1484,9.058,46.291
148424,0.596,0
148456,2.328,0.163
148485,0.765,0.048
148490,0.389,0.115
148541,0.51,0.126
14855,3.301,7.238
1486,3.723,2.293
14865,2.298,10.408
1487,1.267,24.638
148730,0.966,0
148756,0.557,0
1488,2.722,22.445
1489,1.432,0.831
14893,4.027,9.091
14897,2.395,26.687
1490,1.034,0.296
149025,0.423,0.058
14924,0.114,0.148
14926,6.094,32.48
149267,4.473,2.106
149295,1.638,0
1493,3.486,16
149314,0.431,0
149339,0.067,0
149399,7.946,6.969
14941,2.61,25.512
149459,0.184,0
14949,11.445,42.323
14950,0.148,0.153
14951,9.549,21.454
149511,2.01,0
149548,7.316,6.34
149563,4.306,0.265
1496,15.466,49.649
149671,1.514,0.512
149676,0.152,0
1497,9.028,14.11
149704,1.175,0
149712,2.426,0.73
149738,0.168,0.049
149744,0.492,0.068
149751,2.811,1.925
149775,4.509,0
1498,16.912,32.936
149836,2.079,0.422
149843,1.62,0.422
149865,0.327,0
149887,10.087,4.721
149916,1.87,1.767
14995,0.167,0.633
149951,7.453,3.295
149972,0.137,0
149973,0.626,0.051
1500,1.776,24.481
15000,0.185,0.013
15001,5.136,32.509
150024,6.628,5.962
150032,0.165,0.108
150033,14.658,16.91
15006,0.213,0.33
15011,0.085,0.119
150165,0.61,0.354
15019,2.79,7.474
150192,4.524,1.585
1502,5.053,15.236
150205,0.194,0.148
150234,0.17,0.117
1503,7.99,12.247
150338,0.126,0.028
150351,3.001,3.252
